DateKey,GregorianDate,GregorianYearInt,GregorianMonthNo,GregorianDayInMonth,GregorianMonthDayInt,GregorianDayOfWeekInt,GregorianMonthName,GregorianStr,GregorianYearMonthSort,GregorianYearMonthStr,GregorianDayOfWeekName,GrgorianWeekOfYearName,GregorianWeekOfYearNo,PersianInt,PersianYearInt,PersianMonthNo,PersianDayInMonth,PersianMonthDayInt,PersianDayOfWeekInt,PersianMonthName,PersianStr,PersianYearMonthInt,PersianYearMonthStr,PersianDayOfWeekName,PersianWeekOfYearName,PersianWeekOfYearNo,PersianFullName,SeasonCode,SeasonName,IsGregorianLeap,IsPersianLeap,PersianYearMonthSort
20110321,2011-03-21 00:00:00.000,2011,3,21,321,1,"March","3/21/2011",201103,"3/1/2011","Monday","Week 13",13,13900101,1390,1,1,101,2,"فروردین","1390/01/01",13900101,"1390/01","دوشنبه","هفته 1",1,"دوشنبه 1 فروردین 1390",1,"بهار",0,0,139001
20110322,2011-03-22 00:00:00.000,2011,3,22,322,2,"March","3/22/2011",201103,"3/1/2011","Tuesday","Week 13",13,13900102,1390,1,2,102,3,"فروردین","1390/01/02",13900102,"1390/01","سه شنبه","هفته 1",1,"سه شنبه 2 فروردین 1390",1,"بهار",0,0,139001
20110323,2011-03-23 00:00:00.000,2011,3,23,323,3,"March","3/23/2011",201103,"3/1/2011","Wednesday","Week 13",13,13900103,1390,1,3,103,4,"فروردین","1390/01/03",13900103,"1390/01","چهارشنبه","هفته 1",1,"چهارشنبه 3 فروردین 1390",1,"بهار",0,0,139001
20110324,2011-03-24 00:00:00.000,2011,3,24,324,4,"March","3/24/2011",201103,"3/1/2011","Thursday","Week 13",13,13900104,1390,1,4,104,5,"فروردین","1390/01/04",13900104,"1390/01","پنج شنبه","هفته 1",1,"پنج شنبه 4 فروردین 1390",1,"بهار",0,0,139001
20110325,2011-03-25 00:00:00.000,2011,3,25,325,5,"March","3/25/2011",201103,"3/1/2011","Friday","Week 13",13,13900105,1390,1,5,105,6,"فروردین","1390/01/05",13900105,"1390/01","جمعه","هفته 1",1,"جمعه 5 فروردین 1390",1,"بهار",0,0,139001
20110326,2011-03-26 00:00:00.000,2011,3,26,326,6,"March","3/26/2011",201103,"3/1/2011","Saturday","Week 13",13,13900106,1390,1,6,106,0,"فروردین","1390/01/06",13900106,"1390/01","شنبه","هفته 2",2,"شنبه 6 فروردین 1390",1,"بهار",0,0,139001
20110327,2011-03-27 00:00:00.000,2011,3,27,327,0,"March","3/27/2011",201103,"3/1/2011","Sunday","Week 14",14,13900107,1390,1,7,107,1,"فروردین","1390/01/07",13900107,"1390/01","یکشنبه","هفته 2",2,"یکشنبه 7 فروردین 1390",1,"بهار",0,0,139001
20110328,2011-03-28 00:00:00.000,2011,3,28,328,1,"March","3/28/2011",201103,"3/1/2011","Monday","Week 14",14,13900108,1390,1,8,108,2,"فروردین","1390/01/08",13900108,"1390/01","دوشنبه","هفته 2",2,"دوشنبه 8 فروردین 1390",1,"بهار",0,0,139001
20110329,2011-03-29 00:00:00.000,2011,3,29,329,2,"March","3/29/2011",201103,"3/1/2011","Tuesday","Week 14",14,13900109,1390,1,9,109,3,"فروردین","1390/01/09",13900109,"1390/01","سه شنبه","هفته 2",2,"سه شنبه 9 فروردین 1390",1,"بهار",0,0,139001
20110330,2011-03-30 00:00:00.000,2011,3,30,330,3,"March","3/30/2011",201103,"3/1/2011","Wednesday","Week 14",14,13900110,1390,1,10,110,4,"فروردین","1390/01/10",13900110,"1390/01","چهارشنبه","هفته 2",2,"چهارشنبه 10 فروردین 1390",1,"بهار",0,0,139001
20110331,2011-03-31 00:00:00.000,2011,3,31,331,4,"March","3/31/2011",201103,"3/1/2011","Thursday","Week 14",14,13900111,1390,1,11,111,5,"فروردین","1390/01/11",13900111,"1390/01","پنج شنبه","هفته 2",2,"پنج شنبه 11 فروردین 1390",1,"بهار",0,0,139001
20110401,2011-04-01 00:00:00.000,2011,4,1,401,5,"April","4/1/2011",201104,"4/1/2011","Friday","Week 14",14,13900112,1390,1,12,112,6,"فروردین","1390/01/12",13900112,"1390/01","جمعه","هفته 2",2,"جمعه 12 فروردین 1390",1,"بهار",0,0,139001
20110402,2011-04-02 00:00:00.000,2011,4,2,402,6,"April","4/2/2011",201104,"4/1/2011","Saturday","Week 14",14,13900113,1390,1,13,113,0,"فروردین","1390/01/13",13900113,"1390/01","شنبه","هفته 3",3,"شنبه 13 فروردین 1390",1,"بهار",0,0,139001
20110403,2011-04-03 00:00:00.000,2011,4,3,403,0,"April","4/3/2011",201104,"4/1/2011","Sunday","Week 15",15,13900114,1390,1,14,114,1,"فروردین","1390/01/14",13900114,"1390/01","یکشنبه","هفته 3",3,"یکشنبه 14 فروردین 1390",1,"بهار",0,0,139001
20110404,2011-04-04 00:00:00.000,2011,4,4,404,1,"April","4/4/2011",201104,"4/1/2011","Monday","Week 15",15,13900115,1390,1,15,115,2,"فروردین","1390/01/15",13900115,"1390/01","دوشنبه","هفته 3",3,"دوشنبه 15 فروردین 1390",1,"بهار",0,0,139001
20110405,2011-04-05 00:00:00.000,2011,4,5,405,2,"April","4/5/2011",201104,"4/1/2011","Tuesday","Week 15",15,13900116,1390,1,16,116,3,"فروردین","1390/01/16",13900116,"1390/01","سه شنبه","هفته 3",3,"سه شنبه 16 فروردین 1390",1,"بهار",0,0,139001
20110406,2011-04-06 00:00:00.000,2011,4,6,406,3,"April","4/6/2011",201104,"4/1/2011","Wednesday","Week 15",15,13900117,1390,1,17,117,4,"فروردین","1390/01/17",13900117,"1390/01","چهارشنبه","هفته 3",3,"چهارشنبه 17 فروردین 1390",1,"بهار",0,0,139001
20110407,2011-04-07 00:00:00.000,2011,4,7,407,4,"April","4/7/2011",201104,"4/1/2011","Thursday","Week 15",15,13900118,1390,1,18,118,5,"فروردین","1390/01/18",13900118,"1390/01","پنج شنبه","هفته 3",3,"پنج شنبه 18 فروردین 1390",1,"بهار",0,0,139001
20110408,2011-04-08 00:00:00.000,2011,4,8,408,5,"April","4/8/2011",201104,"4/1/2011","Friday","Week 15",15,13900119,1390,1,19,119,6,"فروردین","1390/01/19",13900119,"1390/01","جمعه","هفته 3",3,"جمعه 19 فروردین 1390",1,"بهار",0,0,139001
20110409,2011-04-09 00:00:00.000,2011,4,9,409,6,"April","4/9/2011",201104,"4/1/2011","Saturday","Week 15",15,13900120,1390,1,20,120,0,"فروردین","1390/01/20",13900120,"1390/01","شنبه","هفته 4",4,"شنبه 20 فروردین 1390",1,"بهار",0,0,139001
20110410,2011-04-10 00:00:00.000,2011,4,10,410,0,"April","4/10/2011",201104,"4/1/2011","Sunday","Week 16",16,13900121,1390,1,21,121,1,"فروردین","1390/01/21",13900121,"1390/01","یکشنبه","هفته 4",4,"یکشنبه 21 فروردین 1390",1,"بهار",0,0,139001
20110411,2011-04-11 00:00:00.000,2011,4,11,411,1,"April","4/11/2011",201104,"4/1/2011","Monday","Week 16",16,13900122,1390,1,22,122,2,"فروردین","1390/01/22",13900122,"1390/01","دوشنبه","هفته 4",4,"دوشنبه 22 فروردین 1390",1,"بهار",0,0,139001
20110412,2011-04-12 00:00:00.000,2011,4,12,412,2,"April","4/12/2011",201104,"4/1/2011","Tuesday","Week 16",16,13900123,1390,1,23,123,3,"فروردین","1390/01/23",13900123,"1390/01","سه شنبه","هفته 4",4,"سه شنبه 23 فروردین 1390",1,"بهار",0,0,139001
20110413,2011-04-13 00:00:00.000,2011,4,13,413,3,"April","4/13/2011",201104,"4/1/2011","Wednesday","Week 16",16,13900124,1390,1,24,124,4,"فروردین","1390/01/24",13900124,"1390/01","چهارشنبه","هفته 4",4,"چهارشنبه 24 فروردین 1390",1,"بهار",0,0,139001
20110414,2011-04-14 00:00:00.000,2011,4,14,414,4,"April","4/14/2011",201104,"4/1/2011","Thursday","Week 16",16,13900125,1390,1,25,125,5,"فروردین","1390/01/25",13900125,"1390/01","پنج شنبه","هفته 4",4,"پنج شنبه 25 فروردین 1390",1,"بهار",0,0,139001
20110415,2011-04-15 00:00:00.000,2011,4,15,415,5,"April","4/15/2011",201104,"4/1/2011","Friday","Week 16",16,13900126,1390,1,26,126,6,"فروردین","1390/01/26",13900126,"1390/01","جمعه","هفته 4",4,"جمعه 26 فروردین 1390",1,"بهار",0,0,139001
20110416,2011-04-16 00:00:00.000,2011,4,16,416,6,"April","4/16/2011",201104,"4/1/2011","Saturday","Week 16",16,13900127,1390,1,27,127,0,"فروردین","1390/01/27",13900127,"1390/01","شنبه","هفته 5",5,"شنبه 27 فروردین 1390",1,"بهار",0,0,139001
20110417,2011-04-17 00:00:00.000,2011,4,17,417,0,"April","4/17/2011",201104,"4/1/2011","Sunday","Week 17",17,13900128,1390,1,28,128,1,"فروردین","1390/01/28",13900128,"1390/01","یکشنبه","هفته 5",5,"یکشنبه 28 فروردین 1390",1,"بهار",0,0,139001
20110418,2011-04-18 00:00:00.000,2011,4,18,418,1,"April","4/18/2011",201104,"4/1/2011","Monday","Week 17",17,13900129,1390,1,29,129,2,"فروردین","1390/01/29",13900129,"1390/01","دوشنبه","هفته 5",5,"دوشنبه 29 فروردین 1390",1,"بهار",0,0,139001
20110419,2011-04-19 00:00:00.000,2011,4,19,419,2,"April","4/19/2011",201104,"4/1/2011","Tuesday","Week 17",17,13900130,1390,1,30,130,3,"فروردین","1390/01/30",13900130,"1390/01","سه شنبه","هفته 5",5,"سه شنبه 30 فروردین 1390",1,"بهار",0,0,139001
20110420,2011-04-20 00:00:00.000,2011,4,20,420,3,"April","4/20/2011",201104,"4/1/2011","Wednesday","Week 17",17,13900131,1390,1,31,131,4,"فروردین","1390/01/31",13900131,"1390/01","چهارشنبه","هفته 5",5,"چهارشنبه 31 فروردین 1390",1,"بهار",0,0,139001
20110421,2011-04-21 00:00:00.000,2011,4,21,421,4,"April","4/21/2011",201104,"4/1/2011","Thursday","Week 17",17,13900201,1390,2,1,201,5,"اردیبهشت","1390/02/01",13900201,"1390/02","پنج شنبه","هفته 5",5,"پنج شنبه 1 اردیبهشت 1390",1,"بهار",0,0,139002
20110422,2011-04-22 00:00:00.000,2011,4,22,422,5,"April","4/22/2011",201104,"4/1/2011","Friday","Week 17",17,13900202,1390,2,2,202,6,"اردیبهشت","1390/02/02",13900202,"1390/02","جمعه","هفته 5",5,"جمعه 2 اردیبهشت 1390",1,"بهار",0,0,139002
20110423,2011-04-23 00:00:00.000,2011,4,23,423,6,"April","4/23/2011",201104,"4/1/2011","Saturday","Week 17",17,13900203,1390,2,3,203,0,"اردیبهشت","1390/02/03",13900203,"1390/02","شنبه","هفته 6",6,"شنبه 3 اردیبهشت 1390",1,"بهار",0,0,139002
20110424,2011-04-24 00:00:00.000,2011,4,24,424,0,"April","4/24/2011",201104,"4/1/2011","Sunday","Week 18",18,13900204,1390,2,4,204,1,"اردیبهشت","1390/02/04",13900204,"1390/02","یکشنبه","هفته 6",6,"یکشنبه 4 اردیبهشت 1390",1,"بهار",0,0,139002
20110425,2011-04-25 00:00:00.000,2011,4,25,425,1,"April","4/25/2011",201104,"4/1/2011","Monday","Week 18",18,13900205,1390,2,5,205,2,"اردیبهشت","1390/02/05",13900205,"1390/02","دوشنبه","هفته 6",6,"دوشنبه 5 اردیبهشت 1390",1,"بهار",0,0,139002
20110426,2011-04-26 00:00:00.000,2011,4,26,426,2,"April","4/26/2011",201104,"4/1/2011","Tuesday","Week 18",18,13900206,1390,2,6,206,3,"اردیبهشت","1390/02/06",13900206,"1390/02","سه شنبه","هفته 6",6,"سه شنبه 6 اردیبهشت 1390",1,"بهار",0,0,139002
