GeographyKey,GeographyBusinessKey,City,State,Country,Region,Market
3616,"US|West|United States|California|Anaheim","Anaheim","California","United States","West","US"
3617,"US|West|United States|California|Antioch","Antioch","California","United States","West","US"
3618,"US|West|United States|California|Apple Valley","Apple Valley","California","United States","West","US"
3619,"US|West|United States|California|Bakersfield","Bakersfield","California","United States","West","US"
3620,"US|West|United States|California|Brentwood","Brentwood","California","United States","West","US"
3621,"US|West|United States|California|Burbank","Burbank","California","United States","West","US"
3622,"US|West|United States|California|Camarillo","Camarillo","California","United States","West","US"
3623,"US|West|United States|California|Chico","Chico","California","United States","West","US"
3624,"US|West|United States|California|Chula Vista","Chula Vista","California","United States","West","US"
3625,"US|West|United States|California|Citrus Heights","Citrus Heights","California","United States","West","US"
3626,"US|West|United States|California|Coachella","Coachella","California","United States","West","US"
3627,"US|West|United States|California|Concord","Concord","California","United States","West","US"
3628,"US|West|United States|California|Costa Mesa","Costa Mesa","California","United States","West","US"
3629,"US|West|United States|California|Danville","Danville","California","United States","West","US"
3630,"US|West|United States|California|Davis","Davis","California","United States","West","US"
3631,"US|West|United States|California|Dublin","Dublin","California","United States","West","US"
3632,"US|West|United States|California|El Cajon","El Cajon","California","United States","West","US"
3633,"US|West|United States|California|Encinitas","Encinitas","California","United States","West","US"
3634,"US|West|United States|California|Escondido","Escondido","California","United States","West","US"
3635,"US|West|United States|California|Fairfield","Fairfield","California","United States","West","US"
3636,"US|West|United States|California|Fresno","Fresno","California","United States","West","US"
3637,"US|West|United States|California|Hesperia","Hesperia","California","United States","West","US"
3638,"US|West|United States|California|Huntington Beach","Huntington Beach","California","United States","West","US"
3639,"US|West|United States|California|Inglewood","Inglewood","California","United States","West","US"
3640,"US|West|United States|California|La Mesa","La Mesa","California","United States","West","US"
3641,"US|West|United States|California|La Quinta","La Quinta","California","United States","West","US"
3642,"US|West|United States|California|Laguna Niguel","Laguna Niguel","California","United States","West","US"
3643,"US|West|United States|California|Lake Elsinore","Lake Elsinore","California","United States","West","US"
3644,"US|West|United States|California|Lake Forest","Lake Forest","California","United States","West","US"
3645,"US|West|United States|California|Lakewood","Lakewood","California","United States","West","US"
3646,"US|West|United States|California|Lancaster","Lancaster","California","United States","West","US"
3647,"US|West|United States|California|Lodi","Lodi","California","United States","West","US"
3648,"US|West|United States|California|Long Beach","Long Beach","California","United States","West","US"
3649,"US|West|United States|California|Los Angeles","Los Angeles","California","United States","West","US"
3650,"US|West|United States|California|Manteca","Manteca","California","United States","West","US"
3651,"US|West|United States|California|Mission Viejo","Mission Viejo","California","United States","West","US"
3652,"US|West|United States|California|Modesto","Modesto","California","United States","West","US"
3653,"US|West|United States|California|Montebello","Montebello","California","United States","West","US"
3654,"US|West|United States|California|Moreno Valley","Moreno Valley","California","United States","West","US"
3655,"US|West|United States|California|Morgan Hill","Morgan Hill","California","United States","West","US"
3656,"US|West|United States|California|Murrieta","Murrieta","California","United States","West","US"
3657,"US|West|United States|California|Oakland","Oakland","California","United States","West","US"
3658,"US|West|United States|California|Oceanside","Oceanside","California","United States","West","US"
3659,"US|West|United States|California|Ontario","Ontario","California","United States","West","US"
3660,"US|West|United States|California|Oxnard","Oxnard","California","United States","West","US"
3661,"US|West|United States|California|Pasadena","Pasadena","California","United States","West","US"
3662,"US|West|United States|California|Pico Rivera","Pico Rivera","California","United States","West","US"
3663,"US|West|United States|California|Pomona","Pomona","California","United States","West","US"
3664,"US|West|United States|California|Rancho Cucamonga","Rancho Cucamonga","California","United States","West","US"
3665,"US|West|United States|California|Redding","Redding","California","United States","West","US"
3666,"US|West|United States|California|Redlands","Redlands","California","United States","West","US"
3667,"US|West|United States|California|Redondo Beach","Redondo Beach","California","United States","West","US"
3668,"US|West|United States|California|Redwood City","Redwood City","California","United States","West","US"
3669,"US|West|United States|California|Riverside","Riverside","California","United States","West","US"
3670,"US|West|United States|California|Roseville","Roseville","California","United States","West","US"
3671,"US|West|United States|California|Sacramento","Sacramento","California","United States","West","US"
3672,"US|West|United States|California|Salinas","Salinas","California","United States","West","US"
3673,"US|West|United States|California|San Bernardino","San Bernardino","California","United States","West","US"
3674,"US|West|United States|California|San Clemente","San Clemente","California","United States","West","US"
3675,"US|West|United States|California|San Diego","San Diego","California","United States","West","US"
3676,"US|West|United States|California|San Francisco","San Francisco","California","United States","West","US"
3677,"US|West|United States|California|San Gabriel","San Gabriel","California","United States","West","US"
3678,"US|West|United States|California|San Jose","San Jose","California","United States","West","US"
3679,"US|West|United States|California|San Luis Obispo","San Luis Obispo","California","United States","West","US"
3680,"US|West|United States|California|San Mateo","San Mateo","California","United States","West","US"
3681,"US|West|United States|California|Santa Ana","Santa Ana","California","United States","West","US"
3682,"US|West|United States|California|Santa Barbara","Santa Barbara","California","United States","West","US"
3683,"US|West|United States|California|Santa Clara","Santa Clara","California","United States","West","US"
3684,"US|West|United States|California|Santa Maria","Santa Maria","California","United States","West","US"
3685,"US|West|United States|California|Stockton","Stockton","California","United States","West","US"
3686,"US|West|United States|California|Sunnyvale","Sunnyvale","California","United States","West","US"
3687,"US|West|United States|California|Temecula","Temecula","California","United States","West","US"
3688,"US|West|United States|California|Thousand Oaks","Thousand Oaks","California","United States","West","US"
3689,"US|West|United States|California|Torrance","Torrance","California","United States","West","US"
3690,"US|West|United States|California|Vacaville","Vacaville","California","United States","West","US"
3691,"US|West|United States|California|Vallejo","Vallejo","California","United States","West","US"
3692,"US|West|United States|California|Visalia","Visalia","California","United States","West","US"
3693,"US|West|United States|California|Westminster","Westminster","California","United States","West","US"
3694,"US|West|United States|California|Whittier","Whittier","California","United States","West","US"
3695,"US|West|United States|California|Woodland","Woodland","California","United States","West","US"
3696,"US|West|United States|California|Yucaipa","Yucaipa","California","United States","West","US"
3603,"US|West|United States|Arizona|Avondale","Avondale","Arizona","United States","West","US"
3604,"US|West|United States|Arizona|Bullhead City","Bullhead City","Arizona","United States","West","US"
3605,"US|West|United States|Arizona|Chandler","Chandler","Arizona","United States","West","US"
3606,"US|West|United States|Arizona|Gilbert","Gilbert","Arizona","United States","West","US"
3607,"US|West|United States|Arizona|Glendale","Glendale","Arizona","United States","West","US"
3608,"US|West|United States|Arizona|Mesa","Mesa","Arizona","United States","West","US"
3609,"US|West|United States|Arizona|Peoria","Peoria","Arizona","United States","West","US"
3610,"US|West|United States|Arizona|Phoenix","Phoenix","Arizona","United States","West","US"
3611,"US|West|United States|Arizona|Scottsdale","Scottsdale","Arizona","United States","West","US"
3612,"US|West|United States|Arizona|Sierra Vista","Sierra Vista","Arizona","United States","West","US"
3613,"US|West|United States|Arizona|Tempe","Tempe","Arizona","United States","West","US"
3614,"US|West|United States|Arizona|Tucson","Tucson","Arizona","United States","West","US"
3615,"US|West|United States|Arizona|Yuma","Yuma","Arizona","United States","West","US"
3697,"US|West|United States|Colorado|Arvada","Arvada","Colorado","United States","West","US"
3698,"US|West|United States|Colorado|Aurora","Aurora","Colorado","United States","West","US"
3699,"US|West|United States|Colorado|Broomfield","Broomfield","Colorado","United States","West","US"
3700,"US|West|United States|Colorado|Colorado Springs","Colorado Springs","Colorado","United States","West","US"
3701,"US|West|United States|Colorado|Commerce City","Commerce City","Colorado","United States","West","US"
3702,"US|West|United States|Colorado|Denver","Denver","Colorado","United States","West","US"
3703,"US|West|United States|Colorado|Englewood","Englewood","Colorado","United States","West","US"
3704,"US|West|United States|Colorado|Fort Collins","Fort Collins","Colorado","United States","West","US"
3705,"US|West|United States|Colorado|Greeley","Greeley","Colorado","United States","West","US"
3706,"US|West|United States|Colorado|Littleton","Littleton","Colorado","United States","West","US"
3707,"US|West|United States|Colorado|Longmont","Longmont","Colorado","United States","West","US"
3708,"US|West|United States|Colorado|Louisville","Louisville","Colorado","United States","West","US"
3709,"US|West|United States|Colorado|Loveland","Loveland","Colorado","United States","West","US"
3710,"US|West|United States|Colorado|Parker","Parker","Colorado","United States","West","US"
3711,"US|West|United States|Colorado|Pueblo","Pueblo","Colorado","United States","West","US"
3712,"US|West|United States|Colorado|Thornton","Thornton","Colorado","United States","West","US"
3713,"US|West|United States|Idaho|Boise","Boise","Idaho","United States","West","US"
3714,"US|West|United States|Idaho|Caldwell","Caldwell","Idaho","United States","West","US"
3715,"US|West|United States|Idaho|Lewiston","Lewiston","Idaho","United States","West","US"
3716,"US|West|United States|Idaho|Meridian","Meridian","Idaho","United States","West","US"
3717,"US|West|United States|Idaho|Pocatello","Pocatello","Idaho","United States","West","US"
3718,"US|West|United States|Idaho|Twin Falls","Twin Falls","Idaho","United States","West","US"
3719,"US|West|United States|Montana|Billings","Billings","Montana","United States","West","US"
3720,"US|West|United States|Montana|Bozeman","Bozeman","Montana","United States","West","US"
3721,"US|West|United States|Montana|Great Falls","Great Falls","Montana","United States","West","US"
3722,"US|West|United States|Montana|Helena","Helena","Montana","United States","West","US"
3723,"US|West|United States|Montana|Missoula","Missoula","Montana","United States","West","US"
3724,"US|West|United States|Nevada|Henderson","Henderson","Nevada","United States","West","US"
3725,"US|West|United States|Nevada|Las Vegas","Las Vegas","Nevada","United States","West","US"
3726,"US|West|United States|Nevada|North Las Vegas","North Las Vegas","Nevada","United States","West","US"
3727,"US|West|United States|Nevada|Reno","Reno","Nevada","United States","West","US"
3728,"US|West|United States|Nevada|Sparks","Sparks","Nevada","United States","West","US"
3729,"US|West|United States|New Mexico|Albuquerque","Albuquerque","New Mexico","United States","West","US"
3730,"US|West|United States|New Mexico|Carlsbad","Carlsbad","New Mexico","United States","West","US"
3731,"US|West|United States|New Mexico|Clovis","Clovis","New Mexico","United States","West","US"
3732,"US|West|United States|New Mexico|Farmington","Farmington","New Mexico","United States","West","US"
3733,"US|West|United States|New Mexico|Las Cruces","Las Cruces","New Mexico","United States","West","US"
3734,"US|West|United States|New Mexico|Rio Rancho","Rio Rancho","New Mexico","United States","West","US"
3735,"US|West|United States|New Mexico|Santa Fe","Santa Fe","New Mexico","United States","West","US"
3736,"US|West|United States|Oregon|Eugene","Eugene","Oregon","United States","West","US"
3737,"US|West|United States|Oregon|Gresham","Gresham","Oregon","United States","West","US"
3738,"US|West|United States|Oregon|Hillsboro","Hillsboro","Oregon","United States","West","US"
3739,"US|West|United States|Oregon|Medford","Medford","Oregon","United States","West","US"
3740,"US|West|United States|Oregon|Portland","Portland","Oregon","United States","West","US"
3741,"US|West|United States|Oregon|Redmond","Redmond","Oregon","United States","West","US"
3742,"US|West|United States|Oregon|Salem","Salem","Oregon","United States","West","US"
3743,"US|West|United States|Oregon|Springfield","Springfield","Oregon","United States","West","US"
3744,"US|West|United States|Oregon|Tigard","Tigard","Oregon","United States","West","US"
3745,"US|West|United States|Utah|Draper","Draper","Utah","United States","West","US"
3746,"US|West|United States|Utah|Layton","Layton","Utah","United States","West","US"
3747,"US|West|United States|Utah|Lehi","Lehi","Utah","United States","West","US"
3748,"US|West|United States|Utah|Logan","Logan","Utah","United States","West","US"
3749,"US|West|United States|Utah|Murray","Murray","Utah","United States","West","US"
3750,"US|West|United States|Utah|Orem","Orem","Utah","United States","West","US"
3751,"US|West|United States|Utah|Pleasant Grove","Pleasant Grove","Utah","United States","West","US"
3752,"US|West|United States|Utah|Provo","Provo","Utah","United States","West","US"
3753,"US|West|United States|Utah|Salt Lake City","Salt Lake City","Utah","United States","West","US"
3754,"US|West|United States|Utah|West Jordan","West Jordan","Utah","United States","West","US"
3755,"US|West|United States|Washington|Auburn","Auburn","Washington","United States","West","US"
