SalesRowKey,OrderID,ProductKey,CustomerKey,GeographyKey,ShipModeKey,PriorityKey,OrderDateKey,ShipDateKey,Sales,Quantity,Discount,Profit,ShippingCost,IsReturned,DeliverDays
2363,"MX-2011-117107",2750,731,2640,4,4,20111015,20111019,703.16,2,0,161.72,62.398,False,4
831,"MX-2014-135272",3021,1383,2605,4,4,20141106,20141110,32.12,2,0,15.72,1.296,False,4
1511,"MX-2012-147886",404,278,2605,4,4,20120411,20120415,163.44,2,0,13.04,10.522,False,4
3399,"MX-2014-107265",6837,151,2551,4,4,20140624,20140628,35.24,2,0,8.08,3.048,False,4
850,"MX-2012-131254",4681,699,2551,4,4,20121204,20121208,64.88,2,0,21.4,5.946,False,4
23516,"IN-2012-34324",1628,1296,42,4,4,20121003,20121007,103.2,2,0,44.34,8.3,False,4
4150,"MX-2014-101469",817,314,2534,4,4,20140730,20140803,231.92,2,0,64.92,15.555,False,4
7,"MX-2013-134096",4317,461,3024,4,4,20130927,20131001,56.12,2,0,21.32,4.108,False,4
10,"MX-2013-134096",8080,461,3024,4,4,20130927,20131001,341.52,2,0,13.64,17.341,False,4
4047,"MX-2012-168130",2327,40,3024,4,4,20121228,20130101,101.52,2,0,1,8.831,False,4
6073,"MX-2011-148033",9593,336,3024,4,4,20110524,20110528,850,2,0,119,94.056,False,4
7110,"MX-2014-145366",1496,657,2579,4,4,20141125,20141129,26.76,2,0,7.48,1.243,False,4
24058,"IN-2013-22760",792,1575,107,4,4,20130614,20130618,136.62,2,0,12.24,8.22,False,4
1847,"MX-2012-167927",634,1538,2552,4,4,20120606,20120610,63.52,2,0,14.6,6.538,False,4
419,"MX-2014-114930",1239,880,2585,4,4,20140605,20140609,67.08,2,0,10.04,7.761,False,4
3619,"MX-2013-166926",3564,1050,2585,4,4,20130104,20130108,8.6,2,0,3.6,0.56,False,4
3618,"MX-2013-166926",6438,1050,2585,4,4,20130104,20130108,29.88,2,0,13.44,2.013,False,4
20868,"IN-2011-26176",1306,835,146,4,4,20110816,20110820,97.86,2,0,48.9,7.98,False,4
19042,"ES-2012-2080192",364,317,1504,4,4,20120411,20120415,398.52,2,0,47.82,27.35,False,4
1556,"MX-2011-157679",6837,193,2580,4,4,20111020,20111024,35.24,2,0,8.08,2.977,False,4
308,"MX-2013-160248",286,733,2580,4,4,20130626,20130630,199.28,2,0,89.64,24.536,False,4
328,"MX-2013-156412",3564,1185,2586,4,4,20130604,20130608,8.6,2,0,3.6,0.588,False,4
364,"MX-2012-131870",3849,1356,2601,4,4,20121024,20121028,10.16,2,0,4.04,0.574,False,4
4042,"MX-2014-127901",968,9,2575,4,4,20141215,20141219,610.6,2,0,238.12,57.833,False,4
24421,"IN-2014-41786",1274,189,368,4,4,20140704,20140708,217.32,2,0,36.9,22.35,False,4
23721,"IN-2011-69429",62,264,385,4,4,20110716,20110720,244.08,2,0,68.34,11.63,False,4
4097,"MX-2011-154998",8313,135,2947,4,4,20110909,20110913,325.36,2,0,149.64,0.477,False,4
3063,"MX-2013-115084",312,202,2979,4,4,20131008,20131012,191.96,2,0,30.68,14.717,False,4
779,"MX-2012-134243",56,1051,2942,4,4,20121104,20121108,198.2,2,0,43.6,13.624,False,4
